,artist_name,track_name,track_id,track_popularity,artist_id,song_length_ms
903,Junko Yagami,FUN CITY - 2020 Remaster,1DKmSjVvySVzvlHOFNeNZW,5,6ooFYQBSq3sFEipwHfw5gr,250200
904,Sista Prod,Eyes Blue Like The Atlantic (feat. Subvrbs),0qUcpOOna3kkrwfqky85e1,70,7cSbcJTJBBSXDjRNR2qD61,154599
905,Kobaryo,HAPPY NEW BPM 2020,5jwNrgDL8Zl44gINkTz1ry,5,1Y81Ch90opScfpMfN17lZb,200480
906,King Von,All These Niggas (feat. Lil Durk),4g27tVPyGHi38dczFoJZZy,64,6QtgPSJPSzcnn7dPZ4VINp,144786
907,Christy Moore,Joe McCann - Remastered 2020,6Fx7s29d0zyZSqCLVDKpgK,9,3Ebn7mKYzD0L3DaUB1gNJZ,202186
908,Sam Hunt,Hard To Forget,10xuH52YSXHWFwCaF1fsDd,64,2kucQ9jQwuD8jWdtR9Ef38,204760
909,Christy Moore,Rambling Robin - Remastered 2020,5RLeg1dOMEbbsGxQUmDKFR,9,3Ebn7mKYzD0L3DaUB1gNJZ,143840
910,Bad Bunny,YO VISTO ASÍ,5fROvzNghPid8mbKNDYvpJ,71,4q3ewBCX7sLwd24euuV69X,191526
911,The Brothers Gillespie,Pandemic Love or the Year Without a Spring (Live in Johnson City 10/30/2020),4iw1IrgiSQ6J5UJpfQJsRD,1,0Qzs6k37sHst4PoLSzJFVW,159194
912,Jerry Di,Mi Cuarto,6fmQjRuo7XvRFCK2qex5hQ,72,7f02bxFbZIOVdSbYRNYvLT,197586
913,Ash,Shining Light - 2020 - Remaster,4RfYytVLZVug49iuNMojuu,13,2evydP72Z45DouM4uMGsIE,309440
914,2KBABY,Old Streets,3k0LQivRnB690bkznEXI1E,65,4mkjpWbFO45SyaHiM9GOVE,105600
915,m-pact,Human Nature - 2020 Remaster,0bpWtFgwf5VePnyYuJgfiS,4,4RDeIdKXTqX5ZYzHn04F10,296611
916,Joji,Daylight,6Ed1q0X8oSKSm4IIhiQbYg,69,3MZsBdqDrRTJihTHQrO6Dq,163905
917,October,Inner Silence - 2020 Remastered,42prYIWiVRGBtQWdEyKzFZ,4,1AkzuxRsDDcPQURcUARdlq,166170
918,Skinny Atlas,you never meant it,4LMlIX9Y8qziRafzW30mGc,69,0E1HulHZpqPQBOA8isuQ7a,117692
919,David Bowie,"Seven Years In Tibet - Live at Radio City Music Hall New York, 15th October, 1997; 2020 Remaster",3KLU3rwnH7rdjuXgvGvubX,7,0oSGxfWSnnOXhD2fKuz2Gy,379720
920,Justin Bieber,Lonely (with benny blanco),4y4spB9m0Q6026KfkAvy9Q,74,1uNFoZAHBGtllmzznpCI3s,149297
921,The Cog is Dead,Time Machine (Remastered 2020),6uw6qpBqrHrr6C7hLmK2yL,6,5aLQtm6eoBgUhsbHvgAJPF,215013
922,Freddie Gibbs,"Something to Rap About (feat. Tyler, The Creator)",5OkYfk72CNL8XLqa3gp9q7,66,0Y4inQK6OespitzD6ijMwb,282560
923,Goldie,Inner City Life - 2020 Remaster,1Nlstdx5q4GVUyaQqHYvqh,5,2SYqJ3uDLLXZNyZdLKBy4M,422182
924,Phoebe Bridgers,Moon Song,46RNrAkGsqWTDrv2ZPOAbx,66,1r1uxoy19fzMxunt3ONAkG,277676
925,Junko Yagami,哀愁パラダイス - 2020 Remaster,3OktwSmw5kFGDI4fC1z5hw,6,6ooFYQBSq3sFEipwHfw5gr,237560
926,Ashnikko,Daisy,0AUvWawuP0ibk4SQ3sIZjk,69,3PyJHH2wyfQK3WZrk9rpmP,146523
927,October,Nod Your Head - 2020 Remastered,2SAHvXYbfnBlP721cGSrdU,6,1AkzuxRsDDcPQURcUARdlq,197065
928,Lil Baby,Commercial (feat. Lil Uzi Vert),3tDqEKKUs6gf8zMvSuLyLA,65,5f7VJjfbwm532GiveGC0ZK,214214
929,October,Me Before You - 2020 Remastered,0dgx5nCe9j7khY9Sctmqgs,4,1AkzuxRsDDcPQURcUARdlq,214620
930,$uicideboy$,All Dogs Go to Heaven,1DoBPOlB884EHiftB46QGx,65,1VPmR4DJC1PlOtd0IADAO0,153652
931,Ash,Burn Baby Burn - 2020 - Remaster,4y4okFiVQwfKteASrN5v03,12,2evydP72Z45DouM4uMGsIE,207120
932,CORPSE,Miss YOU!,3pXVmZh293nWtqxildz9jf,67,7yntSJ6uojO3z6GFUVwhAW,92856
933,Kazuhito Murata,"So long, Mrs. - 2020 Remaster",73ccJ8cerJlWbAHTtYZX5I,9,1YAn7piNSpMgdC8inGcOLd,206680
934,Royal & the Serpent,overwhelmed,5jjZikDrEd0by1o7V3fO4y,69,64EHXDoln95lnccszdPum0,159293
935,Junko Yagami,"COMMUNICATION - Extended Club Mix, 2020 Remaster",5AnjlFEoUfhRcPqXLd8LvD,4,6ooFYQBSq3sFEipwHfw5gr,567053
936,Punkinloveee,Freak Show,2Rb6nYmuLEblpq4KIAjngL,70,6CrThJMQVJfWaHeliiLHuw,125361
937,Mike Sanders,Winden - Mixed,2G3xRSATaMwOcOqmrphRCu,8,1SEyZMsDKFTCmabsCrsPsG,304552
938,Wild Rivers,Thinking 'Bout Love,42UaitnwvuKqNcD5Oa2HlD,66,59sBwR0jPSTrbMtuTkRPN5,199391
939,Alan Morris,Catharsis - Mixed,4D3LEYA17P6dGBk2NJcO4D,9,2C51Wbu4q389aUw2Vy8IA4,268132
940,Los Dos Carnales,El Envidioso,53PoPAD389bBE4ePYuT95g,70,25UNJbwGZSQKvz5cPLWlv3,191994
941,Flynn & Denton,Say My Name (Paul Denton Remix) - Mixed,5QYfLFjztixbyUyRCwrJvS,7,7EdiVQ4tLHC42BHU5sQcq0,275527
942,Taylor Swift,illicit affairs,2NmsngXHeC1GQ9wWrzhOMf,69,06HL4z0CvFAxyc27GXpf02,190898
943,Maria Healy,Clouds - Mixed,2uoakoQ0mhldaueo4Mpsgk,9,2BFFr1SrdrJwXm1Y1Wr4F3,326936
944,Megan Thee Stallion,Savage Remix (feat. Beyoncé),5v4GgrXPMghOnBBLmveLac,67,181bsRPaVXVlUKXrxwZfHK,242000
945,Cold Blue,Recovery (John O’Callaghan Remix) - Mixed,3Mkc4N2KizWm95rIKzECJx,11,3mbjJqO86kx786znlhmTrF,216050
946,Dominic Fike,Superstar Sh*t,20j7l6tFtc5lynXpbOQg1O,66,6USv9qhCn6zfxlBQIYJ9qs,127054
947,Christy Moore,The Cliffs Of Dooneen - Remastered 2020,1corzQOwIO9BLGttbDvJNd,9,3Ebn7mKYzD0L3DaUB1gNJZ,180773
948,Gryffin,Safe With Me (with Audrey Mika),6Skh3CBum0pZw9TOr7FQnX,69,2ZRQcIgzPCVaT9XKhXZIzh,205164
949,Sam Lynch,Good Year,4foJE2VB451MQpmgeksBjt,7,3gIjrIxD8n3BSYH9OqkHLL,268161
950,YoungBoy Never Broke Again,House Arrest Tingz,4Boj4bBiDv6Ur1zKEvLXBI,64,7wlFDEWiM5OoIAt8RSli8b,168280
951,Workout Music ,Never Be the Same (Remix),0OUdjsdhc5fwef8UIbQFX6,9,5njMahLKD1tLJ5bejvqseV,273781
952,Kygo,Lose Somebody,1sgDyuLooyvEML4oHspNza,72,23fqKkggKUBHNkbKtXEls4,199549
953,The Cog is Dead,I Want Only You (Remastered 2020),0ba5HE0lAXUHIwb8ETK1aG,5,5aLQtm6eoBgUhsbHvgAJPF,190981
954,Bad Bunny,BYE ME FUI,0FktnzDqjClqU6iqOZVEs2,72,4q3ewBCX7sLwd24euuV69X,178000
955,Workout Music ,Only Human (Remix),6cnCKULXZccT8eVBLWQoGk,6,5njMahLKD1tLJ5bejvqseV,256800
956,Lauv,Who (feat. BTS),2qG81jL9UIP54uS8gYyP4k,75,5JZ7CnR6gTvEMKX4g70Amv,180413
